"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Jacob B.; Queste B.Y.; Du Plessis M.D.","Jacob, Blandine (59602863200); Queste, Bastien Y. (54894353600); Du Plessis, Marcel D. (57191377684)","59602863200; 54894353600; 57191377684","Turbulent heat flux dynamics along the Dotson and Getz ice-shelf fronts (Amundsen Sea, Antarctica)","2025","Ocean Science","21","1","","359","379","20","0","10.5194/os-21-359-2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218495362&doi=10.5194%2fos-21-359-2025&partnerID=40&md5=d9b71acc550bbf5c80554ef17dc5ec2f","Article","Final","","Scopus","2-s2.0-85218495362"
"Thushara V.; Vinayachandran P.N.M.; Matthews A.J.; Webber B.G.M.; Queste B.Y.","Thushara, Venugopal (56465929900); Vinayachandran, Puthenveettil Narayana Menon (6602570835); Matthews, Adrian J. (7202611735); Webber, Benjamin G.M. (55094619400); Queste, Bastien Y. (54894353600)","56465929900; 6602570835; 7202611735; 55094619400; 54894353600","Vertical distribution of chlorophyll in dynamically distinct regions of the southern Bay of Bengal","2019","Biogeosciences","16","7","","1447","1468","21","54","10.5194/bg-16-1447-2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064153719&doi=10.5194%2fbg-16-1447-2019&partnerID=40&md5=8c32eb10d8c987269a402a6314eed221","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85064153719"
"Piontkovski S.A.; Queste B.Y.","Piontkovski, Sergey A. (6602165194); Queste, Bastien Y. (54894353600)","6602165194; 54894353600","Decadal changes of the Western Arabian sea ecosystem","2016","International Aquatic Research","8","1","","49","64","15","24","10.1007/s40071-016-0124-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960425517&doi=10.1007%2fs40071-016-0124-3&partnerID=40&md5=9eb31a2cd164a1d1984bba69dbf99af8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84960425517"
"Piontkovski S.A.; Queste B.Y.; Al-Hashmi K.A.; Al-Shaaibi A.; Bryantseva Y.V.; Popova E.A.","Piontkovski, Sergey A. (6602165194); Queste, Bastien Y. (54894353600); Al-Hashmi, Khalid A. (6504501472); Al-Shaaibi, Aisha (57194496180); Bryantseva, Yulia V. (6504173681); Popova, Elena A. (58326157300)","6602165194; 54894353600; 6504501472; 57194496180; 6504173681; 58326157300","Subsurface algal blooms of the northwestern Arabian Sea","2017","Marine Ecology Progress Series","566","","","67","78","11","18","10.3354/meps11990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020434112&doi=10.3354%2fmeps11990&partnerID=40&md5=c7ebb939466a80e89ec389fb118bc2b8","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85020434112"
"Heywood K.J.; Schmidtko S.; Heuzé C.; Kaiser J.; Jickells T.D.; Queste B.Y.; Stevens D.P.; Wadley M.; Thompson A.F.; Fielding S.; Guihen D.; Creed E.; Ridley J.K.; Smith W.","Heywood, Karen J. (7003373288); Schmidtko, Sunke (35783705400); Heuzé, Céline (55671418200); Kaiser, Jan (7402184800); Jickells, Timothy D. (7005851232); Queste, Bastien Y. (54894353600); Stevens, David P. (7401572191); Wadley, Martin (6701467005); Thompson, Andrew F. (57194191229); Fielding, Sophie (57189229179); Guihen, Damien (36634296100); Creed, Elizabeth (6602087886); Ridley, Jeff K. (7006766881); Smith, Walker (7406472159)","7003373288; 35783705400; 55671418200; 7402184800; 7005851232; 54894353600; 7401572191; 6701467005; 57194191229; 57189229179; 36634296100; 6602087886; 7006766881; 7406472159","Ocean processes at the Antarctic continental slope","2014","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","372","2019","20130047","","","","58","10.1098/rsta.2013.0047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903648066&doi=10.1098%2frsta.2013.0047&partnerID=40&md5=90bbf3cb77ad39c39274ee400de36e8b","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84903648066"
"Queste B.Y.; Heywood K.J.; Kaiser J.; Lee G.A.; Matthews A.; Schmidtko S.; Walker-Brown C.; Woodward S.W.","Queste, Bastien Y. (54894353600); Heywood, Karen J. (7003373288); Kaiser, Jan (7402184800); Lee, Gareth A. (22634818800); Matthews, Adrian (7202611735); Schmidtko, Sunke (35783705400); Walker-Brown, Christopher (55569848600); Woodward, Stephen W. (55570577600)","54894353600; 7003373288; 7402184800; 22634818800; 7202611735; 35783705400; 55569848600; 55570577600","Deployments in extreme conditions: Pushing the boundaries of Seaglider capabilities","2012","2012 IEEE/OES Autonomous Underwater Vehicles, AUV 2012","","","6380740","","","","7","10.1109/AUV.2012.6380740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872917632&doi=10.1109%2fAUV.2012.6380740&partnerID=40&md5=26b6ca1058e7db5c6adcc42dcc51fc83","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84872917632"
"Font E.; Queste B.Y.; Swart S.","Font, Estel (57222173077); Queste, Bastien Y. (54894353600); Swart, Sebastiaan (16481564100)","57222173077; 54894353600; 16481564100","Seasonal to Intraseasonal Variability of the Upper Ocean Mixed Layer in the Gulf of Oman","2022","Journal of Geophysical Research: Oceans","127","3","e2021JC018045","","","","8","10.1029/2021JC018045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127238964&doi=10.1029%2f2021JC018045&partnerID=40&md5=dfa9eaa5a5f11b430ab38dabf21bbe47","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85127238964"
"Cauchy P.; Heywood K.J.; Risch D.; Merchant N.D.; Queste B.Y.; Testor P.","Cauchy, Pierre (56866079600); Heywood, Karen J. (7003373288); Risch, Denise (16301755900); Merchant, Nathan D. (55234347000); Queste, Bastien Y. (54894353600); Testor, Pierre (8894760600)","56866079600; 7003373288; 16301755900; 55234347000; 54894353600; 8894760600","Sperm whale presence observed using passive acoustic monitoring from gliders of opportunity","2020","Endangered Species Research","42","","","133","149","16","8","10.3354/ESR01044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089531117&doi=10.3354%2fESR01044&partnerID=40&md5=1a70bf059ea85a2ebb5a133243290f1f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85089531117"
"Sheehan P.M.F.; Berx B.; Gallego A.; Hall R.A.; Heywood K.J.; Queste B.Y.","Sheehan, Peter M.F. (7103181816); Berx, Barbara (22978707100); Gallego, Alejandro (57188974167); Hall, Rob A. (55448565200); Heywood, Karen J. (7003373288); Queste, Bastien Y. (54894353600)","7103181816; 22978707100; 57188974167; 55448565200; 7003373288; 54894353600","Weekly variability of hydrography and transport of northwestern inflows into the northern North Sea","2020","Journal of Marine Systems","204","","103288","","","","3","10.1016/j.jmarsys.2019.103288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077496108&doi=10.1016%2fj.jmarsys.2019.103288&partnerID=40&md5=837f9bdd167367a130a71a68ce416e76","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85077496108"
"Azaneu M.; Heywood K.J.; Queste B.Y.; Thompson A.F.","Azaneu, Marina (55917609900); Heywood, Karen J. (7003373288); Queste, Bastien Y. (54894353600); Thompson, Andrew F. (57194191229)","55917609900; 7003373288; 54894353600; 57194191229","Variability of the Antarctic Slope current system in the Northwestern Weddell Sea","2017","Journal of Physical Oceanography","47","12","","2977","2997","20","31","10.1175/JPO-D-17-0030.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038624316&doi=10.1175%2fJPO-D-17-0030.1&partnerID=40&md5=d9d8d5964634324140b9c6c4e645b2ce","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85038624316"
