Authors;Title;Year;Source title;DOI
"Jacob B.; Queste B.Y.; Du Plessis M.D.";Turbulent heat flux dynamics along the Dotson and Getz ice-shelf fronts (Amundsen Sea, Antarctica);2025;Ocean Science;10.5194/os-21-359-2025
"Thushara V.; Vinayachandran P.N.M.; Matthews A.J.; Webber B.G.M.; Queste B.Y.";Vertical distribution of chlorophyll in dynamically distinct regions of the southern Bay of Bengal;2019;Biogeosciences;10.5194/bg-16-1447-2019
"Piontkovski S.A.; Queste B.Y.";Decadal changes of the Western Arabian sea ecosystem;2016;International Aquatic Research;10.1007/s40071-016-0124-3
"Piontkovski S.A.; Queste B.Y.; Al-Hashmi K.A.; Al-Shaaibi A.; Bryantseva Y.V.; Popova E.A.";Subsurface algal blooms of the northwestern Arabian Sea;2017;Marine Ecology Progress Series;10.3354/meps11990
"Heywood K.J.; Schmidtko S.; Heuzé C.; Kaiser J.; Jickells T.D.; Queste B.Y.; Stevens D.P.; Wadley M.; Thompson A.F.; Fielding S.; Guihen D.; Creed E.; Ridley J.K.; Smith W.";Ocean processes at the Antarctic continental slope;2014;Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences;10.1098/rsta.2013.0047
"Queste B.Y.; Heywood K.J.; Kaiser J.; Lee G.A.; Matthews A.; Schmidtko S.; Walker-Brown C.; Woodward S.W.";Deployments in extreme conditions: Pushing the boundaries of Seaglider capabilities;2012;2012 IEEE/OES Autonomous Underwater Vehicles, AUV 2012;10.1109/AUV.2012.6380740
"Font E.; Queste B.Y.; Swart S.";Seasonal to Intraseasonal Variability of the Upper Ocean Mixed Layer in the Gulf of Oman;2022;Journal of Geophysical Research: Oceans;10.1029/2021JC018045
"Cauchy P.; Heywood K.J.; Risch D.; Merchant N.D.; Queste B.Y.; Testor P.";Sperm whale presence observed using passive acoustic monitoring from gliders of opportunity;2020;Endangered Species Research;10.3354/ESR01044
"Sheehan P.M.F.; Berx B.; Gallego A.; Hall R.A.; Heywood K.J.; Queste B.Y.";Weekly variability of hydrography and transport of northwestern inflows into the northern North Sea;2020;Journal of Marine Systems;10.1016/j.jmarsys.2019.103288
"Azaneu M.; Heywood K.J.; Queste B.Y.; Thompson A.F.";Variability of the Antarctic Slope current system in the Northwestern Weddell Sea;2017;Journal of Physical Oceanography;10.1175/JPO-D-17-0030.1
"Dobretsov S.; Abed R.M.M.; Muthukrishnan T.; Sathe P.; Al-Naamani L.; Queste B.Y.; Piontkovski S.";Living on the edge: biofilms developing in oscillating environmental conditions;2018;Biofouling;10.1080/08927014.2018.1539707
